System,Latency_ms
Aegis,3995.070348611096
Aegis,4275.705789730625
Aegis,3846.2857465025786
Aegis,3939.5090232120665
Aegis,4035.3556318106794
Aegis,4067.6604623224216
Aegis,4252.288036738648
Aegis,4236.933575255513
Aegis,3948.881960719219
Aegis,4255.052672302207
Aegis,4329.252514099575
Aegis,3948.5159220637765
Aegis,4201.325884326794
Aegis,4111.467043725944
Aegis,4006.6147961846364
Aegis,4304.763470722258
Aegis,3925.8821862268906
Aegis,4529.485550305422
Aegis,4058.0023728412266
Aegis,4212.387976548841
Aegis,3634.755753377498
Aegis,4258.4034244229
Aegis,3996.780692177179
Aegis,4197.180147550313
Aegis,4243.295914912094
Aegis,3585.061221096026
Aegis,4025.705328510004
Aegis,4243.503909657135
Aegis,3916.2317242718414
Aegis,4050.0974971364462
Aegis,3941.175882538814
Aegis,4173.207798782854
Aegis,4132.709998308581
Aegis,3940.1347086579744
Aegis,4562.484337645993
Aegis,3591.1352278885583
Aegis,4094.2928395491886
Aegis,4163.917960169102
Aegis,4155.889388007051
Aegis,4154.554319244045
Aegis,4512.249343677239
Aegis,4436.846294299347
Aegis,3962.078846351837
Aegis,3779.8774688891094
Aegis,4039.2747112423845
Aegis,4203.267104501958
Aegis,4150.325243417225
Aegis,4092.291806871151
Aegis,3864.3859758953226
Aegis,4098.161029377212
PBFT,11390.684581874742
PBFT,9415.648075026744
PBFT,12597.934749902888
PBFT,12208.578995364438
PBFT,11063.234269133121
PBFT,10304.626572495881
PBFT,10060.025110588793
PBFT,11100.285078330999
PBFT,10994.586647903994
PBFT,11510.086622222321
PBFT,11910.81371631221
PBFT,12824.784615250483
PBFT,9215.36960563446
PBFT,10829.718891197486
PBFT,8627.804056004563
PBFT,10064.402073573807
PBFT,10757.250471043684
PBFT,11366.961227052429
PBFT,12322.611944746499
PBFT,11547.461964096576
PBFT,12667.68464487977
PBFT,10422.872378170701
PBFT,12483.434628373378
PBFT,12012.170766141138
PBFT,9661.69859603912
PBFT,10342.94792962199
PBFT,11712.626701259212
PBFT,11458.64719219188
PBFT,11984.515627786626
PBFT,11925.870631173855
PBFT,14050.81333547286
PBFT,12103.258164056555
PBFT,12815.380966636529
PBFT,11688.039772703727
PBFT,11343.862613746332
PBFT,13051.332303098798
PBFT,12443.618363247917
PBFT,11675.958387647683
PBFT,12006.738347325474
PBFT,11329.838051616369
PBFT,12303.88692751305
PBFT,12110.747158100432
PBFT,11384.308646781044
PBFT,10830.778561592382
PBFT,10622.934437282182
PBFT,10995.688438369929
PBFT,11393.665172422978
PBFT,9902.623688539556
PBFT,12159.943637273069
PBFT,11926.127802960396
