mechanism,epsilon,mean_error,std_error,mean_utility,mean_efficiency,trials
Laplace,0.1,0.1355328101947857,0.1165582044160025,0.8644671898052144,97.21329688738433,50
Laplace,0.5,0.026145213057757476,0.02321919833987116,0.9738547869422425,97.21223365885193,50
Laplace,1.0,0.013072606528878738,0.01160959916993558,0.9869273934711212,97.21223365885193,50
Laplace,2.0,0.006536303264439369,0.00580479958496779,0.9934636967355607,97.21223365885193,50
Laplace,5.0,0.0026145213057757483,0.002321919833987116,0.9973854786942243,97.21223365885193,50
Laplace,10.0,0.0013072606528878742,0.001160959916993558,0.998692739347112,97.21223365885193,50
Gaussian,0.1,0.29823486511672515,0.24295177034693163,0.7017651348832749,93.9602982300317,50
Gaussian,0.5,0.059802735369309516,0.048427102782920235,0.9401972646306905,94.02700065700814,50
Gaussian,1.0,0.029901367684654758,0.024213551391460118,0.9700986323153452,94.02700065700814,50
Gaussian,2.0,0.014950683842327379,0.012106775695730059,0.9850493161576724,94.02700065700814,50
Gaussian,5.0,0.005980273536930952,0.004842710278292023,0.994019726463069,94.02700065700814,50
Gaussian,10.0,0.002990136768465476,0.0024213551391460116,0.9970098632315346,94.02700065700814,50
