epsilon,mean_accuracy,std_accuracy,mean_error,trials
0.1,0.8654082717742897,0.11568433773422936,0.13459172822571036,50
0.12742749857031338,0.897411416879808,0.09110748700390996,0.10258858312019199,50
0.16237767391887217,0.9194925865521997,0.07149750879998452,0.08050741344780027,50
0.20691380811147897,0.9368210046096312,0.05610838288607919,0.06317899539036859,50
0.26366508987303583,0.9504196534506193,0.04403161289014793,0.04958034654938076,50
0.33598182862837817,0.9610913287118927,0.03455424722619953,0.038908671288107224,50
0.42813323987193935,0.9694660322735302,0.027116790028749404,0.03053396772646978,50
0.5455594781168519,0.9760381643922632,0.02128017133898819,0.0239618356077369,50
0.6951927961775606,0.9811957105989058,0.016699826629058383,0.018804289401094198,50
0.8858667904100825,0.985243146407117,0.013105355450294395,0.014756853592882977,50
1.1288378916846888,0.9884194120119684,0.010284558354618395,0.011580587988031698,50
1.438449888287663,0.9909120181138598,0.008070909709448192,0.009087981886140243,50
1.8329807108324356,0.9928681156044781,0.006333726864295888,0.007131884395522037,50
2.3357214690901213,0.99440318261322,0.0049704553062390995,0.005596817386779923,50
2.9763514416313175,0.9956078417534882,0.003900614358757458,0.004392158246511956,50
3.79269019073225,0.9965532100246882,0.0030610460085309875,0.003446789975311648,50
4.832930238571752,0.9972950972011667,0.0024021863748992438,0.0027049027988332824,50
6.158482110660261,0.9978773005597842,0.0018851397083446118,0.0021226994402159926,50
7.847599703514611,0.9983341904502311,0.0014793821816288734,0.001665809549768965,50
10.0,0.998692739347112,0.0011609599169935603,0.0013072606528878742,50
